Last year|S01T105310.01-Last-year
What was your best flex from last year|S01T105310.02-What-was-your-best-flex-from-last-year
Well|S01T105311.01-Well
Then|S01T105311.02-Then
I want to prioritize my health and well-being|S01T105312.01-I-want-to-prioritize-my-health-and-well-being
I want to travel to many places|S01T105312.02-I-want-to-travel-to-many-places
I want to focus on skill development|S01T105312.03-I-want-to-focus-on-skill-development
So|S01T105312.04-So
What was your best flex from last year, flex master|S01T105310.00-What-was-your-best-flex-from-last-year-flex-master
Then, what was pressing you last year|S01T105311.00-Then-what-was-pressing-you-last-year
So, what are you longing for this year|S01T105312.00-So-what-are-you-longing-for-this-year
